frame,locType,mapId,worldX,worldY,localX,localY,scrolling,screenState,heldButtons
137,0,24,146,152,5,7,1,0,DOWN
138,0,24,146,152,5,7,1,0,DOWN
139,0,24,146,152,5,8,1,0,DOWN
140,0,24,146,152,5,8,1,0,DOWN
141,0,24,146,152,5,8,1,0,DOWN
142,0,24,146,152,5,8,1,0,DOWN
143,0,24,146,152,5,8,1,0,DOWN
144,0,24,146,152,5,8,1,0,DOWN
145,0,24,146,152,5,8,1,0,DOWN
146,0,24,146,152,5,8,1,0,DOWN
147,0,24,146,152,5,8,1,0,DOWN
148,0,24,146,152,5,8,1,0,DOWN
149,0,24,146,152,5,8,1,0,DOWN
150,0,24,146,152,5,8,1,0,DOWN
151,0,24,146,152,5,8,1,0,DOWN
152,0,24,146,152,5,8,1,0,DOWN
153,0,24,146,152,5,8,1,0,DOWN
154,0,24,146,152,5,8,1,0,DOWN
155,0,24,146,152,5,9,1,0,DOWN
156,0,24,146,152,5,9,1,0,DOWN
157,0,24,146,152,5,9,1,0,DOWN
158,0,24,146,152,5,9,1,0,DOWN
159,0,24,146,152,5,9,1,0,DOWN
160,0,24,146,152,5,9,1,0,DOWN
161,0,24,146,152,5,9,1,0,DOWN
162,0,24,146,152,5,9,1,0,DOWN
163,0,24,146,152,5,9,1,0,DOWN
164,0,24,146,152,5,9,1,0,DOWN
165,0,24,146,152,5,9,1,0,DOWN
166,0,24,146,152,5,9,1,0,DOWN
167,0,24,146,152,5,9,1,0,DOWN
168,0,24,146,152,5,9,1,0,DOWN
169,0,24,146,152,5,9,1,0,DOWN
170,0,24,146,152,5,9,1,0,DOWN
171,0,24,146,152,5,10,1,0,DOWN
172,0,24,146,152,5,10,1,0,DOWN
173,0,24,146,152,5,10,1,0,DOWN
174,0,24,146,152,5,10,1,0,DOWN
175,0,24,146,152,5,10,1,0,DOWN
176,0,24,146,152,5,10,1,0,DOWN
177,0,24,146,152,5,10,1,0,DOWN
178,0,24,146,152,5,10,1,0,DOWN
179,0,24,146,152,5,10,1,0,DOWN
180,0,24,146,152,5,10,1,0,DOWN
181,0,24,146,152,5,10,1,0,DOWN
182,0,24,146,152,5,10,1,0,DOWN
183,0,24,146,152,5,10,1,0,DOWN
184,0,24,146,152,5,10,1,0,DOWN
185,0,24,146,152,5,10,1,0,DOWN
186,0,24,146,152,5,10,1,0,DOWN
187,0,24,146,152,5,11,0,0,DOWN
188,0,24,146,152,5,11,0,0,DOWN
