frame,locType,mapId,worldX,worldY,localX,localY,scrolling,screenState,heldButtons
111,0,8,146,152,5,11,0,0,UP
112,0,8,146,152,5,11,0,0,UP
113,0,8,146,152,5,11,0,0,UP
114,0,8,146,152,5,11,0,0,UP
115,0,8,146,152,5,11,0,0,UP
116,0,8,146,152,5,11,0,0,UP
117,0,8,146,152,5,11,0,0,UP
118,0,8,146,152,5,11,0,0,UP
119,0,8,146,152,5,11,0,0,UP
120,0,8,146,152,5,11,0,0,UP
121,0,8,146,152,5,11,0,0,UP
122,0,8,146,152,5,11,0,0,UP
123,0,8,146,152,5,11,0,0,UP
124,0,8,146,152,5,11,0,0,UP
125,0,8,146,152,5,11,0,0,UP
126,0,8,146,152,5,11,0,0,UP
127,0,8,146,152,5,11,0,0,UP
128,0,8,146,152,5,11,0,0,UP
129,0,8,146,152,5,11,0,0,UP
130,0,8,146,152,5,11,0,0,UP
131,0,8,146,152,5,11,0,0,UP
132,0,8,146,152,5,11,0,0,UP
133,0,8,146,152,5,11,0,0,UP
134,0,8,146,152,5,11,0,0,UP
135,0,8,146,152,5,11,0,0,UP
136,0,8,146,152,5,11,0,0,UP
137,0,8,146,152,5,11,0,0,UP
138,0,8,146,152,5,11,0,0,UP
139,0,8,146,152,5,11,0,0,UP
140,0,8,146,152,5,11,0,0,UP
141,0,8,146,152,5,11,0,0,UP
142,0,8,146,152,5,11,0,0,UP
143,0,8,146,152,5,11,0,0,UP
144,0,8,146,152,5,11,0,0,UP
145,0,8,146,152,5,11,0,0,UP
146,0,8,146,152,5,11,0,0,UP
147,0,8,146,152,5,11,0,0,UP
148,0,8,146,152,5,11,0,0,UP
149,0,8,146,152,5,11,0,0,UP
150,0,8,146,152,5,11,0,0,UP
151,0,8,146,152,5,11,0,0,UP
152,0,8,146,152,5,11,0,0,UP
153,0,8,146,152,5,11,0,0,UP
154,0,8,146,152,5,11,0,0,UP
155,0,8,146,152,5,11,0,0,UP
156,0,8,146,152,5,11,0,0,UP
157,0,8,146,152,5,11,0,0,UP
158,0,8,146,152,5,11,0,0,UP
159,0,8,146,152,5,11,0,0,UP
160,0,8,146,152,5,11,0,0,UP
161,0,8,146,152,5,11,0,0,UP
162,0,8,146,152,5,11,0,0,UP
163,0,8,146,152,5,11,0,0,UP
164,0,8,146,152,5,11,0,0,UP
165,0,8,146,152,5,11,0,0,UP
166,0,8,146,152,5,11,0,0,UP
167,0,8,146,152,5,11,0,0,UP
168,0,8,146,152,5,11,0,0,UP
169,0,8,146,152,5,11,0,0,UP
170,0,8,146,152,5,11,0,0,UP
171,0,8,146,152,5,11,0,0,UP
172,0,8,146,152,5,11,0,0,UP
173,0,8,146,152,5,11,0,0,UP
174,0,8,146,152,5,11,0,0,UP
175,0,8,146,152,5,11,0,0,UP
176,0,8,146,152,5,11,0,0,UP
177,0,8,146,152,5,11,0,0,UP
178,0,8,146,152,5,11,0,0,UP
179,0,8,146,152,5,11,0,0,UP
180,0,8,146,152,5,11,0,0,UP
181,0,8,146,152,5,11,0,0,UP
182,0,8,146,152,5,11,0,0,UP
183,0,8,146,152,5,11,0,0,UP
184,0,8,146,152,5,11,0,0,UP
185,0,8,146,152,5,11,0,0,UP
186,0,8,146,152,5,11,0,0,UP
187,0,8,146,152,5,11,0,0,UP
188,0,8,146,152,5,11,0,0,UP
189,0,8,146,152,5,11,0,0,UP
190,0,8,146,152,5,11,0,0,UP
191,0,8,146,152,5,11,0,0,UP
192,0,8,146,152,5,11,0,0,UP
193,0,8,146,152,5,11,0,0,UP
194,0,8,146,152,5,11,0,0,UP
195,0,8,146,152,5,11,0,0,UP
196,0,8,146,152,5,11,0,0,UP
197,0,8,146,152,5,11,0,0,UP
198,0,8,146,152,5,11,0,0,UP
199,0,8,146,152,5,11,0,0,UP
